timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.026.631;-7.287.173;112.796.122;0.63;35.68;35.14;5.86;0.68;52.8;0;2159;2220;11.82;10.89;1;-794.136.869.346.729;122.314.419.306.359;0;-245.140.109.109.017;583.275.782.402.958;-803.646.538.427.577;-795.069.324.742.044;121.651.293.420.206;-5,
2.026.731;-7.287.174;112.796.122;0.58;35.5;35.5;5.84;0.67;51.3;0;2220;2220;11.88;10.83;1;-794.136.869.346.729;111.194.926.640.349;0;-245.140.108.565.506;583.275.781.109.751;-803.646.648.126.452;-795.069.322.976.713;110.592.079.167.877;-5,
2.026.831;-7.287.174;112.796.122;0.6;35.32;35.62;5.87;0.67;49.78;0;2220;2220;12.07;10.9;1;-794.136.869.346.729;111.194.926.640.349;0;-245.140.108.565.506;583.275.781.109.751;-803.646.648.126.452;-795.069.322.976.713;110.592.079.167.877;-5,
2.026.931;-7.287.175;112.796.122;0.58;35.32;35.62;5.93;0.68;48.25;0;2159;2220;12;10.9;1;-794.136.869.346.729;100.075.433.974.339;0;-245.140.108.021.995;583.275.779.816.544;-803.646.757.825.326;-795.069.321.218.227;0.995328649370121;-5,
2.027.031;-7.287.175;112.796.121;0.61;35.26;35.85;5.97;0.69;46.73;0;2220;2220;11.85;10.9;1;-805.166.548.059.355;100.075.433.974.339;0;-245.140.097.841.912;583.275.784.095.046;-803.646.757.825.326;-806.111.950.718.785;0.995328631675241;-5,
2.027.131;-7.287.176;112.796.121;0.61;35.62;34.9;5.99;0.69;45.19;0;2220;2220;11.86;10.85;1;-805.166.548.059.355;0.88955941318205;0;-245.140.097.298.401;583.275.782.801.839;-8.036.468.675.242;-806.111.948.944.747;0.884736489093265;-5,
2.027.231;-7.287.176;112.796.121;0.57;35.56;34.37;5.99;0.68;43.65;0;2159;2159;11.81;10.83;1;-805.166.548.059.355;0.88955941318205;0;-245.140.097.298.401;583.275.782.801.839;-8.036.468.675.242;-806.111.948.944.747;0.884736489093265;-5,
2.027.331;-7.287.176;11.279.612;0.6;35.68;35.5;5.99;0.68;42.1;0;2220;2220;12;10.89;1;-816.196.226.771.981;0.88955941318205;0;-245.140.087.118.318;58.327.578.708.034;-8.036.468.675.242;-817.154.578.294.122;0.884736471094558;-5,
2.027.431;-7.287.177;11.279.612;0.61;35.26;35.32;5.98;0.68;40.53;0;2220;2220;11.87;10.85;1;-816.196.226.771.981;0.778364486521948;0;-245.140.086.574.806;583.275.785.787.133;-803.646.977.223.074;-817.154.576.477.156;0.774144328650942;-5,
2.027.531;-7.287.177;11.279.612;0.54;35.62;36.33;5.99;0.69;38.96;0;2159;2159;11.99;10.89;1;-816.196.226.771.981;0.778364486521948;0;-245.140.086.574.806;583.275.785.787.133;-803.646.977.223.074;-817.154.576.477.156;0.774144328650942;-5,
2.027.631;-7.287.178;11.279.612;0.61;35.26;35.32;5.99;0.69;37.37;0;2220;2220;11.83;10.86;1;-816.196.226.771.981;0.667169559861847;0;-245.140.086.031.295;583.275.784.493.925;-803.647.086.921.948;-817.154.574.637.793;0.663552185950318;-5,
2.027.731;-7.287.178;112.796.119;0.63;35.68;35.91;5.98;0.7;35.78;0;2220;2220;11.88;10.85;1;-827.225.905.484.607;0.667169559861847;0;-245.140.075.851.212;583.275.788.772.427;-803.647.086.921.948;-82.819.720.407.987;0.663552167774051;-5,
2.027.831;-7.287.178;112.796.119;0.56;35.26;35.44;5.95;0.69;34.17;0;2220;2159;11.88;10.9;1;-827.225.905.484.607;0.667169559861847;0;-245.140.075.851.212;583.275.788.772.427;-803.647.086.921.948;-82.819.720.407.987;0.663552167774051;-5,
2.027.931;-7.287.179;112.796.118;0.59;35.68;35.91;5.93;0.69;32.56;0;2220;2220;11.94;10.89;1;-838.255.584.197.234;0.555974633201746;0;-245.140.065.127.618;58.327.579.175.772;-803.647.196.620.821;-839.239.831.502.162;0.55296000681454;-5,
2.028.031;-7.287.179;112.796.118;0.68;35.5;35.32;5.94;0.69;30.94;0;2220;2220;11.89;10.89;1;-838.255.584.197.234;0.555974633201746;0;-245.140.065.127.618;58.327.579.175.772;-803.647.196.620.821;-839.239.831.502.162;0.55296000681454;-5,
2.028.131;-7.287.179;112.796.117;0.59;35.56;35.08;5.97;0.69;29.31;0;2220;2159;11.93;10.85;1;-849.285.263.066.601;0.555974633201746;0;-245.140.054.947.534;583.275.796.036.221;-803.647.196.620.821;-850.282.461.057.474;0.552959988065345;-5,
2.028.231;-728.718;112.796.117;0.67;37.28;35.32;6.01;0.68;27.68;0;2220;2220;11.87;10.83;1;-849.285.263.066.601;0.444779706541644;0;-245.140.054.404.023;583.275.794.743.013;-803.647.306.319.694;-850.282.459.195.716;0.442367845685088;-5,
