u,v,r,x_ENU,y_ENU,psi,delta,n_P,n_S,rpm
-0.444018687794953,-0.217516028667669,-0.27750735106672,2.53980475902022,0.552960648094191,0.652229541470281,0.615926693028799,37,37,2220
-0.616982893141683,-0.100625654205169,-0.27750735106735,2.42937846459936,0.552960653630962,0.624478806363571,0.62474060575137,37,37,2220
-0.613912135926223,-0.117920744893356,-0.280998009571343,2.42937846459936,0.552960653630962,0.596379005406462,0.616973890579995,37,35.9833333333333,2189.5
-0.677459957176726,0.170156653727293,-0.280998009570703,2.31895216662771,0.442368516384486,0.568279204449354,0.62474060575137,37,37,2220
-0.606292717032907,-0.152323852493416,-0.282743338823339,2.31895216662771,0.442368516384486,0.540004870567046,0.618021088131192,37,37,2220
-0.601714529225755,-0.169508230131858,-0.284488668074689,2.2085258710745,0.442368521348329,0.511556003759538,0.616450291804397,37,35.9833333333333,2189.5
-0.596649382212024,-0.186555429541487,-0.284488668075334,2.20852586594345,0.331776378968071,0.48310713695203,0.633554518473942,37,37,2220
-0.591030324248715,-0.203657971618734,-0.287979326579326,2.20852586594345,0.331776378968071,0.454309204294124,0.616973890579995,37,37,2220
-0.584882633293075,-0.220693714982105,-0.289724655830664,2.0980995691414,0.221184241220721,0.425336738711018,0.602400391325843,37,35.9833333333333,2189.5
-0.492846198037203,-0.0335942127545412,-0.291469985083318,2.0980995691414,0.221184241220721,0.396189740202713,0.625787803302567,37,37,2220
-0.777142906982955,-0.175275878988052,-0.293215314334647,1.98767327582169,0.221184245662929,0.366868208769208,0.62474060575137,37,37,2220
-0.490019149297008,-0.0625074380748914,-0.29496064358731,1.98767327582169,0.221184245662929,0.337372144410504,0.62168627956038,37,35.9833333333333,2189.5
-0.698430495879471,-0.0100056588368947,-0.29496064358731,1.87724697903826,0.110592107378678,0.3078760800518,0.623693408200174,35.9833333333333,37,2189.5
-0.485449541776477,-0.0914586740103877,-0.298451302090623,1.87724697903826,0.110592107378678,0.278030949842697,0.620115483233585,37,37,2220
-0.750876295232211,-0.266190766048345,-0.300196631343298,1.76682068587406,0.110592111316613,0.248011286708394,0.619068285682389,37,35.9833333333333,2189.5
-0.694712867381926,-0.0726588166499618,-0.300196631342615,1.76682068587406,0.110592111316613,0.217991623574092,0.620115483233585,35.9833333333333,37,2189.5
-0.692202669022259,-0.0935988073838336,-0.301941960595294,1.65639438881685,-2.74947949130411e-08,0.18779742751459,0.624217006975772,37,37,2220
-0.470893960917957,-0.149281027323676,-0.305432619099286,1.54596809587661,-2.39293427434228e-08,0.157254165604689,0.621162680784782,37,35.9833333333333,2189.5
-0.685221168317616,-0.135562598937132,-0.303687289846599,1.54596809587661,-2.39293427434228e-08,0.126885436619988,0.617497489355594,35.9833333333333,37,2189.5
-0.659485261764211,0.0637335739338205,-0.305432619099285,1.54596809587661,-2.39293427434228e-08,0.096342174710087,0.619068285682389,37,37,2220
-0.455225594492149,-0.191821799221566,-0.308923277602575,1.43554180444818,-2.06677179398485e-08,0.0654498469497874,0.622209878335978,37,35.9833333333333,2189.5
-0.669804235971469,-0.198160412730599,-0.308923277603277,1.32511551123416,-1.76294232476226e-08,0.0345575191894877,0.618021088131192,37,37,2220
-0.663325799540572,-0.218870160969351,-0.310668606855273,1.32511550806284,-0.110592160134675,0.00349065850398866,0.623169809424575,37,37,2220
-0.656207207318255,-0.239368685103482,-0.310668606854559,1.21468921642908,-0.110592157268418,-0.0275762021815096,0.618021088131192,37,35.9833333333333,2189.5
-0.427939325182371,-0.246766849125706,-0.312413936107276,1.21468921642908,-0.110592157268418,-0.0588175957922088,0.623693408200174,37,37,2220
-0.65986228557883,-0.0597038086211418,-0.314159265358549,1.10426292422914,-0.110592154688625,-0.0902335223281066,0.61854468690679,37,37,2220
-0.657647298543243,-0.0805159075252374,-0.315904594611268,1.10426292422914,-0.110592154688625,-0.121823981789205,0.620115483233585,37,35.9833333333333,2189.5
-0.654776062450142,-0.101247660161239,-0.315904594611259,0.993836629814318,-0.110592152355048,-0.153414441250302,0.621162680784782,37,37,2220
-0.651230161898634,-0.121992045246401,-0.317649923862533,0.883410338199179,-0.110592150256642,-0.185179433636598,0.612785100375209,37,37,2220
-0.647002313776116,-0.142726272424776,-0.319395253115251,0.883410338199179,-0.110592150256642,-0.217118958948094,0.619068285682389,37,35.9833333333333,2189.5
-0.642085972645373,-0.163426979511669,-0.321140582366516,0.772984045159286,-0.110592148490471,-0.24923301718479,0.623693408200174,37,37,2220
